id	class	text
2023	error	divide by 0
2024	error	mod by 0
2025	error	'%s' : enum/struct/union type redefinition
2026	error	'%s' : member of enum redefinition
2027	error	use of undefined type '%Fs'
2028	error	struct/union member must be inside a struct/union
2029	error	left of '%s' specifies undefined class/struct/union '%Fs'
2030	error	'%Fs' : struct/union member redefinition
2031	error	'%Fs' : function cannot be struct/union member
2032	error	'%Fs' : function cannot be member of %s '%Fs'
2033	error	'%Fs' : bit field cannot have indirection
2034	error	'%Fs' : type of bit field too small for number of bits
2035	error	struct/union '%Fs' : unknown size
2036	error	%s '%Fs' : unknown size
2037	error	left of '%s' specifies undefined struct/union '%Fs'
2038	error	'%s' : not struct/union member
2039	error	'%s' : not %s member
2041	error	illegal digit '%c' for base %d
2042	error	signed/unsigned keywords mutually exclusive
2043	error	illegal break
2044	error	illegal continue
2045	error	'%s' : label redefined
2046	error	illegal case
2047	error	illegal default
2048	error	more than one default
2049	error	case value '%ld' already used
2050	error	nonintegral switch expression
2051	error	case expression not constant
2052	error	case expression not integral
2054	error	expected '(' to follow '%Fs'
2055	error	expected formal-parameter list, not a type list
2056	error	illegal expression
2057	error	expected constant expression
2058	error	constant expression is not integral
2059	error	syntax error : '%s'
2060	error	syntax error : end-of-file found
2061	error	syntax error : identifier '%s'
2062	error	type '%s' unexpected
2063	error	'%s' : not a function
2064	error	term does not evaluate to a function
2065	error	'%s' : undefined
2066	error	cast to function type is illegal
2067	error	cast to array type is illegal
2068	error	illegal cast
2069	error	cast of void term to nonvoid
2070	error	illegal sizeof operand
2071	error	'%Fs' : illegal storage class
2072	error	'%Fs' : initialization of a function
2075	error	'%Fs' : array initialization needs curly braces
2076	error	'%Fs' : struct/union initialization needs curly braces
2077	error	nonscalar field initializer '%Fs'
2078	error	too many initializers
2079	error	'%Fs' uses undefined struct/union '%Fs'
2080	error	illegal far _fastcall function
2082	error	redefinition of formal parameter '%Fs'
2083	error	%s comparison illegal
2084	error	function '%Fs' already has a body
2085	error	'%Fs' : not in formal-parameter list
2086	error	'%Fs' : redefinition
2087	error	'%Fs' : missing subscript
2088	error	'%s' : illegal for %s
2089	error	'%Fs' : %s too large
2090	error	function returns array
2091	error	function returns function
2092	error	array element type cannot be function
2093	error	cannot use address of automatic variable as static initializer
2094	error	label '%Fs' was undefined
2095	error	'%Fs' : actual has type void : parameter %d
2096	error	struct/union comparison illegal
2097	error	illegal initialization
2098	error	nonaddress expression
2099	error	nonconstant initializer
2100	error	illegal indirection
2101	error	'&' on constant
2102	error	'&' requires lvalue
2103	error	'&' on register variable
2104	error	'&' on bit field ignored
2105	error	'%s' needs lvalue
2106	error	'%s' : left operand must be lvalue
2107	error	illegal index, indirection not allowed
2108	error	nonintegral index
2109	error	subscript on nonarray
2110	error	pointer + pointer
2111	error	pointer + nonintegral value
2112	error	illegal pointer subtraction
2113	error	pointer subtracted from nonpointer
2114	error	'%s' : pointer on left; needs integral right
