index	rva	line	source	source_raw
0	0x00027110	92	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
1	0x00027118	96	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
2	0x00027120	98	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
3	0x0002712a	99	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
4	0x00027134	100	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
5	0x00027140	112	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
6	0x00027162	117	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
7	0x0002716b	135	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
8	0x0002716f	138	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
9	0x0002717c	141	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
10	0x00027183	143	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
11	0x00027185	144	D:\nt\private\crt32st\lowio\close.c	D:\nt\private\crt32st\lowio\close.c
12	0x000271cc	276	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
13	0x000271d4	322	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
14	0x000271e3	323	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
15	0x000271f2	324	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
16	0x00027201	327	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
17	0x0002720a	329	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
18	0x00027220	335	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
19	0x00027230	336	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
20	0x00027237	337	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
21	0x00027247	338	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
22	0x0002724e	327	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
23	0x0002725c	351	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
24	0x00027265	352	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
25	0x0002726b	358	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
26	0x00027274	359	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
27	0x0002727a	364	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
