name	c2_rva	c3_rva	c2_source	c3_source
__heap_addblock	0x000643c2	0x0002c9fc	D:\nt\private\crt32st\heap\heapadd.c	D:\nt\private\crt32st\heap\heapadd.c
__heap_findaddr	0x00064636	0x0002cc70	D:\nt\private\crt32st\heap\findaddr.c	D:\nt\private\crt32st\heap\findaddr.c
__heap_free_region	0x00064334	0x0002c96e	D:\nt\private\crt32st\heap\heapgrow.c	D:\nt\private\crt32st\heap\heapgrow.c
__heap_grow	0x00064160	0x0002c79a	D:\nt\private\crt32st\heap\heapgrow.c	D:\nt\private\crt32st\heap\heapgrow.c
__heap_grow_emptylist	0x0004f1de	0x0002965e	D:\nt\private\crt32st\heap\heapinit.c	D:\nt\private\crt32st\heap\heapinit.c
__heap_grow_region	0x00064260	0x0002c89a	D:\nt\private\crt32st\heap\heapgrow.c	D:\nt\private\crt32st\heap\heapgrow.c
__heap_init	0x0004f1ca	0x0002964a	D:\nt\private\crt32st\heap\heapinit.c	D:\nt\private\crt32st\heap\heapinit.c
__heap_search	0x000646b6	0x0002ccf0	D:\nt\private\crt32st\heap\heapsrch.c	D:\nt\private\crt32st\heap\heapsrch.c
__heap_split_block	0x000640f8	0x0002c732	D:\nt\private\crt32st\heap\malloc.c	D:\nt\private\crt32st\heap\malloc.c
__heapadd	0x00064396	0x0002c9d0	D:\nt\private\crt32st\heap\heapadd.c	D:\nt\private\crt32st\heap\heapadd.c
__isatty	0x0004f240	0x000296c0	D:\nt\private\crt32st\lowio\isatty.c	D:\nt\private\crt32st\lowio\isatty.c
__itoa	0x0005dcbe	0x0002a82e	D:\nt\private\crt32st\convert\xtoa.c	D:\nt\private\crt32st\convert\xtoa.c
__local_unwind	0x0004d0a0	0x000291a4	i386\crtexcpt.asm	i386\crtexcpt.asm
__lseek	0x0004f270	0x000296f0	D:\nt\private\crt32st\lowio\lseek.c	D:\nt\private\crt32st\lowio\lseek.c
__ltoa	0x0005dcea	0x0002a85a	D:\nt\private\crt32st\convert\xtoa.c	D:\nt\private\crt32st\convert\xtoa.c
__open	0x0005df38	0x0002ab38	D:\nt\private\crt32st\lowio\open.c	D:\nt\private\crt32st\lowio\open.c
__open_osfhandle	0x0004eeca	0x0002934a	D:\nt\private\crt32st\lowio\osfinfo.c	D:\nt\private\crt32st\lowio\osfinfo.c
__openfile	0x0005de08	0x0002aa08	D:\nt\private\crt32st\stdio\_open.c	D:\nt\private\crt32st\stdio\_open.c
__output	0x0005e5ca	0x0002b1ca	D:\nt\private\crt32st\stdio\output.c	D:\nt\private\crt32st\stdio\output.c
__positive	0x0004d3ce	0x000283c2	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c
__read	0x0004f2f6	0x00029776	D:\nt\private\crt32st\lowio\read.c	D:\nt\private\crt32st\lowio\read.c
__set_osfhnd	0x0004ed8e	0x0002920e	D:\nt\private\crt32st\lowio\osfinfo.c	D:\nt\private\crt32st\lowio\osfinfo.c
__setargv	0x0004f53c	0x000299bc	D:\nt\private\crt32st\startup\stdargv.c	D:\nt\private\crt32st\startup\stdargv.c
__setenvp	0x0004f762	0x00029be2	D:\nt\private\crt32st\startup\stdenvp.c	D:\nt\private\crt32st\startup\stdenvp.c
__setmode	0x0005e40a	0x0002b00a	D:\nt\private\crt32st\lowio\setmode.c	D:\nt\private\crt32st\lowio\setmode.c
__sopen	0x0005df50	0x0002ab50	D:\nt\private\crt32st\lowio\open.c	D:\nt\private\crt32st\lowio\open.c
__stbuf	0x0005e4da	0x0002b0da	D:\nt\private\crt32st\stdio\_sftbuf.c	D:\nt\private\crt32st\stdio\_sftbuf.c
__strdup	0x0004f872	0x0002a5e2	D:\nt\private\crt32st\string\strdup.c	D:\nt\private\crt32st\string\strdup.c
__strupr	0x0004f8d2	0x00029d62	D:\nt\private\crt32st\string\strupr.c	D:\nt\private\crt32st\string\strupr.c
__ultoa	0x0005dd1a	0x0002a88a	D:\nt\private\crt32st\convert\xtoa.c	D:\nt\private\crt32st\convert\xtoa.c
