index	rva	line	source	source_raw
46	0x0004ceb8	376	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
47	0x0004cec1	377	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
48	0x0004cec7	404	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
49	0x0004cecc	488	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
50	0x0004cecf	489	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
51	0x0004cedb	490	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
52	0x0004cee0	495	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
53	0x0004cee3	496	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
54	0x0004ceef	497	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
55	0x0004cef4	503	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
56	0x0004cf02	504	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
57	0x0004cf04	510	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
58	0x0004cf12	511	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
59	0x0004cf14	518	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
60	0x0004cf1b	526	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
61	0x0004cf22	528	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
62	0x0004cf28	532	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
63	0x0004cf31	533	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
64	0x0004cf3f	551	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
65	0x0004cf48	552	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
66	0x0004cf4e	557	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
67	0x0004cf57	558	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
68	0x0004cf5d	563	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
69	0x0004cf66	564	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
70	0x0004cf6c	592	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
71	0x0004cf70	607	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
72	0x0004cf7b	624	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
73	0x0004cf80	737	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
74	0x0004cf87	742	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
75	0x0004cf8c	747	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
76	0x0004cf91	748	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
77	0x0004cf93	749	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
78	0x0004cfbe	115	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
79	0x0004cfc5	118	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
80	0x0004cfcb	121	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
81	0x0004cfd2	122	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
82	0x0004cfe5	132	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
83	0x0004cfef	133	D:\nt\private\crt32st\dos\dosmap.c	D:\nt\private\crt32st\dos\dosmap.c
