rva	va	name	storage	source	source_raw
0x00010000	0x00020000	_nextword	external	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	c:\c6\\cmerge\
0x00010024	0x00020024	_out_of_mem	external	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	c:\c6\\cmerge\
0x000100dc	0x000200dc	_startp2	external	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	c:\c6\\cmerge\
0x000102f0	0x000202f0	_settle_Oswitches	external	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	c:\c6\\cmerge\
0x000104b4	0x000204b4	_dop2	external	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	c:\c6\\cmerge\
0x00010c10	0x00020c10	_main	external	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	c:\c6\\cmerge\
0x00010c9c	0x00020c9c	_real_main	external	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	c:\c6\\cmerge\
0x00010cf4	0x00020cf4	_put_block	external	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	c:\c6\\cmerge\
0x00010d48	0x00020d48	_freeblock	external	compiler_contribution_000 [_nextword, _out_of_mem, _startp2...]	c:\c6\\cmerge\
0x00010da0	0x00020da0	_bitv_init	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00010dc8	0x00020dc8	_bvalloc	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00010e2c	0x00020e2c	_freebv	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00010e5c	0x00020e5c	_bvnodecount	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00010e84	0x00020e84	_bvextend	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00010ed8	0x00020ed8	_bvcpy	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00010f3c	0x00020f3c	_bvclr	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00010f64	0x00020f64	_bvset	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00010f8c	0x00020f8c	_bvany	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00010fc8	0x00020fc8	_bvcount	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00011010	0x00021010	_bvnext	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x000110b4	0x000210b4	_bvnnext	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00011144	0x00021144	_bvcmp	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00011188	0x00021188	_bvor	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x000111f4	0x000211f4	_bvand	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x0001123c	0x0002123c	_bvandnot	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x000112ac	0x000212ac	_bvnotand	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x000112e4	0x000212e4	_bvunion	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x0001130c	0x0002130c	_bvintersect	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00011354	0x00021354	_bvunionminus	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00011394	0x00021394	_bvunion_am	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x000113e0	0x000213e0	_bitscom	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00011464	0x00021464	_bitset	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
0x00011478	0x00021478	_bitclr	external	compiler_contribution_002 [_bitv_init, _bvalloc, _freebv...]	c:\c6\\cmerge\
