index	source	source_raw	start_rva	end_rva	length	functions
90	compiler_contribution_090 [_init_NDP, _init_fpcache, _set_fpreg_tolock...]	c:\c6\\cmerge\	0x000555f2	0x000579aa	0x23b8	_init_NDP; _init_fpcache; _set_fpreg_tolock; _set_fpreg_toclr; _find_fp; _find_fp_reg; _kick_NDP; _fld_fpreg; _fld_regvar; _pop_fpreg; _commit_fp; _clearmap_fp; _reflreg; _do_reflreg; _rew_extrmem; _handle_firstreg; _ffree_map; _fxch_map; _ndp_level; _patch_fpregs; _hi_fp; _next_fp; _fixdfpreg; _is_fpreg; _do_fpspill; _newunl; _freeunl; _pushunl; _popunl; _unloadfp; _reloadfp; _spill_enregd_var; _spill_base; _reload_all_enregd_vars; _reload_fpregvar; _sort_fpregs; _enregd_level; _spill_partial; _c_fstp; _c_fldt; _c_fxch; _c_fdup; _c_fld_reg; _c_ffree; _c_fldz; _c_fstp0; _c_fst; _c_soft_fls; _is_inorder; _prfpreg; _dfpreg; _drv; _sanity_check_fpregs; _dunlstack
91	compiler_contribution_091 [_cnstrpush, _cnstrpop, _constr...]	c:\c6\\cmerge\	0x000579b2	0x000580e2	0x730	_cnstrpush; _cnstrpop; _constr; _constrdepth; _constrindex; _shorten; _maybereg; _maybeimmed; _doesnt_force; _comma_is; _needs_ax; _wants_ax; _is_mconst; _notemp; _maybe_half; _is_ndreg; _is_anyndreg; _is_ndreg_internal; _colonpush
92	compiler_contribution_092 [_convert, _coerce, _max_type...]	c:\c6\\cmerge\	0x000580e2	0x0005934a	0x1268	_convert; _coerce; _max_type; _remove_longaddr; _typenode; _typeintrinsicarg
93	compiler_contribution_093 [_reserve_reg, _toocheap, _cheapmode...]	c:\c6\\cmerge\	0x00059352	0x00059a26	0x6d4	_reserve_reg; _toocheap; _cheapmode; _regsize; _constrain
94	compiler_contribution_094 [_sucomp, _order, _ltor...]	c:\c6\\cmerge\	0x00059a32	0x0005a3fa	0x9c8	_sucomp; _order; _ltor; _rtol; _rtol2; _cqdef_update; _cqref_update; _numinregs; _sufuncalc
95	compiler_contribution_095 [_type_args, _node_len, _new_op...]	c:\c6\\cmerge\	0x0005a402	0x0005b802	0x1400	_type_args; _node_len; _new_op; _freeargs; _find_temp; _build_lentree; _attach_len; _do_intrinsic; _hoist_before_intrinsic; _in_hst; _in_cc; _is_icall; _in_name
96	compiler_contribution_096 [_expandMD, _mcondMD, _leamult...]	c:\c6\\cmerge\	0x0005b802	0x0005db3a	0x2338	_expandMD; _mcondMD; _leamult; _multcon; _multshift; _lea_or_mov; _sbbtrick; _shifttricks; _helper_size; _generate_vcall_thunk
97	compiler_contribution_097	c:\c6\\cmerge\	0x0005db42	0x0005db42	0x0	
98	D:\nt\private\crt32st\stdio\fclose.c	D:\nt\private\crt32st\stdio\fclose.c	0x0005db42	0x0005dc1e	0xdc	_fclose
99	D:\nt\private\crt32st\stdio\_freebuf.c	D:\nt\private\crt32st\stdio\_freebuf.c	0x0005dc22	0x0005dc52	0x30	__freebuf
100	D:\nt\private\crt32st\convert\xtoa.c	D:\nt\private\crt32st\convert\xtoa.c	0x0005dc52	0x0005dd32	0xe0	xtoa; __itoa; __ltoa; __ultoa
101	D:\nt\private\crt32st\dos\unlink.c	D:\nt\private\crt32st\dos\unlink.c	0x0005dd32	0x0005dd7e	0x4c	_remove; __unlink
102	D:\nt\private\crt32st\stdio\fopen.c	D:\nt\private\crt32st\stdio\fopen.c	0x0005dd88	0x0005ddbc	0x34	__fsopen; _fopen
103	D:\nt\private\crt32st\stdio\stream.c	D:\nt\private\crt32st\stdio\stream.c	0x0005ddc8	0x0005de08	0x40	__getstream
104	D:\nt\private\crt32st\stdio\_open.c	D:\nt\private\crt32st\stdio\_open.c	0x0005de08	0x0005df34	0x12c	__openfile
105	D:\nt\private\crt32st\stdio\ncommode.c	D:\nt\private\crt32st\stdio\ncommode.c	0x0005df38	0x0005df38	0x0	
106	D:\nt\private\crt32st\lowio\open.c	D:\nt\private\crt32st\lowio\open.c	0x0005df38	0x0005e240	0x308	__open; __sopen
107	D:\nt\private\crt32st\dos\access.c	D:\nt\private\crt32st\dos\access.c	0x0005e25a	0x0005e2b2	0x58	__access
108	D:\nt\private\crt32st\lowio\chsize.c	D:\nt\private\crt32st\lowio\chsize.c	0x0005e2ba	0x0005e406	0x14c	__chsize
109	D:\nt\private\crt32st\lowio\setmode.c	D:\nt\private\crt32st\lowio\setmode.c	0x0005e40a	0x0005e48e	0x84	__setmode
110	D:\nt\private\crt32st\stdio\fprintf.c	D:\nt\private\crt32st\stdio\fprintf.c	0x0005e49a	0x0005e4d6	0x3c	_fprintf
111	D:\nt\private\crt32st\stdio\_sftbuf.c	D:\nt\private\crt32st\stdio\_sftbuf.c	0x0005e4da	0x0005e5c2	0xe8	__stbuf; __ftbuf
112	D:\nt\private\crt32st\stdio\output.c	D:\nt\private\crt32st\stdio\output.c	0x0005e5ca	0x0005ee06	0x83c	__output; write_char; write_multi_char; write_string; write_wstring; get_int_arg; get_long_arg
113	D:\nt\private\crt32st\stdio\fread.c	D:\nt\private\crt32st\stdio\fread.c	0x0005ee0a	0x0005ef26	0x11c	_fread
114	D:\nt\private\crt32st\heap\free.c	D:\nt\private\crt32st\heap\free.c	0x0005ef2a	0x0005ef8e	0x64	_free
115	D:\nt\private\crt32st\stdio\fseek.c	D:\nt\private\crt32st\stdio\fseek.c	0x0005ef9a	0x0005f01e	0x84	_fseek
116	D:\nt\private\crt32st\stdio\ftell.c	D:\nt\private\crt32st\stdio\ftell.c	0x0005f02a	0x0005f186	0x15c	_ftell
117	D:\nt\private\crt32st\stdio\fwrite.c	D:\nt\private\crt32st\stdio\fwrite.c	0x0005f18a	0x0005f2ce	0x144	_fwrite
118	compiler_contribution_118 [_get_err, _get_msg, _get_message...]	c:\c6\\cmerge\	0x0005f2da	0x0005f55e	0x284	_get_err; _get_msg; _get_message; _get_int; _mark_pos; _nearest
119	D:\nt\private\crt32st\stdio\fgets.c	D:\nt\private\crt32st\stdio\fgets.c	0x0005f56a	0x0005f5ee	0x84	_fgets
120	compiler_contribution_120 [_getattrib, _do_type, _p2type]	c:\c6\\cmerge\	0x0005f5fa	0x0005fde2	0x7e8	_getattrib; _do_type; _p2type
121	D:\nt\private\crt32st\misc\getenv.c	D:\nt\private\crt32st\misc\getenv.c	0x0005fdea	0x0005fe62	0x78	_getenv
122	compiler_contribution_122 [_optimize, _walk_canon, _walk_peeps...]	c:\c6\\cmerge\	0x0005fe6a	0x0006404e	0x41e4	_optimize; _walk_canon; _walk_peeps; _walk_fact; _walk_fixup; _opt_canon; _distrib; _push_invert; _neg_const; _push_convert; _pop_convert; _pop_it; _less_precise; _in_range; _opt_vfact; _fact_var; _fact_vmult; _fact_vexp; _exp_build; _opt_cfact; _fact_const; _rem_const; _div_const; _fact_split; _rem_split; _fact_unary; _fact_xor; _zap_var; _zap_vwalk; _opt_peeps; _zap_cwalk; _opt_band; _fold_shift; _band_val; _rep_const; _opt_fixup; _pop_unary; _pop_binary; _fold_name; _local_fold_neg; _fold_neg; _fold_neg_hack; _nice_neg; _fold_compl; _fold_invert; _const_sign; _is_pos; _nop_val; _nop_const; _shrink_val; _int_const; _is_const; _new_const; _StoM; _log2; _pushU; _pushL; _pushR; _pushLR; _popL; _popR; _popLR; _freeL; _freeR; _freeS; _skip1cv
123	D:\nt\private\crt32st\heap\malloc.c	D:\nt\private\crt32st\heap\malloc.c	0x00064060	0x00064154	0xf4	_malloc; __heap_split_block
124	D:\nt\private\crt32st\heap\heapgrow.c	D:\nt\private\crt32st\heap\heapgrow.c	0x00064160	0x00064388	0x228	__heap_grow; _heap_new_region; __heap_grow_region; __heap_free_region
125	D:\nt\private\crt32st\heap\heapadd.c	D:\nt\private\crt32st\heap\heapadd.c	0x00064396	0x0006462a	0x294	__heapadd; __heap_addblock; _before
126	D:\nt\private\crt32st\heap\findaddr.c	D:\nt\private\crt32st\heap\findaddr.c	0x00064636	0x000646aa	0x74	__heap_findaddr
127	D:\nt\private\crt32st\heap\heapsrch.c	D:\nt\private\crt32st\heap\heapsrch.c	0x000646b6	0x000647ce	0x118	__heap_search
128	compiler_contribution_128 [_mem_size]	c:\c6\\cmerge\	0x000647d6	0x000647e2	0xc	_mem_size
129	D:\nt\private\crt32st\string\memchr.c	D:\nt\private\crt32st\string\memchr.c	0x000647e6	0x0006481e	0x38	_memchr
130	D:\nt\private\crt32st\string\memcpy.c	D:\nt\private\crt32st\string\memcpy.c	0x00064826	0x00064852	0x2c	_memcpy
131	D:\nt\private\crt32st\string\memmove.c	D:\nt\private\crt32st\string\memmove.c	0x00064856	0x000648ae	0x58	_memmove
132	D:\nt\private\crt32st\string\memset.c	D:\nt\private\crt32st\string\memset.c	0x000648b6	0x000648e2	0x2c	_memset
133	compiler_contribution_133 [_op_size, _c_size, _ea_size...]	c:\c6\\cmerge\	0x000648e6	0x0006560e	0xd28	_op_size; _c_size; _ea_size; _imm_size; _sign_extend
134	compiler_contribution_134 [_our_ltoa]	c:\c6\\cmerge\	0x00065616	0x0006568a	0x74	_our_ltoa
135	D:\nt\private\crt32st\stdio\printf.c	D:\nt\private\crt32st\stdio\printf.c	0x00065696	0x000656d6	0x40	_printf
136	compiler_contribution_136 [_sumaxset, _susumset, _suconflict...]	c:\c6\\cmerge\	0x000656d6	0x00065eba	0x7e4	_sumaxset; _susumset; _suconflict; _suheuristics; _sutovect; _suhoru; _suheld; _suuses; _sufun; _regtosuv; _cnsttovect; _suinit; _setavail; _prsuvect
137	compiler_contribution_137 [_sorttree, _skipcvt, _compute_complexity...]	c:\c6\\cmerge\	0x00065ec6	0x000663aa	0x4e4	_sorttree; _skipcvt; _compute_complexity; _sortassoc; _sortcomm; _sortswap; _relopposite
138	D:\nt\private\crt32st\stdio\setbuf.c	D:\nt\private\crt32st\stdio\setbuf.c	0x000663b6	0x000663da	0x24	_setbuf
139	D:\nt\private\crt32st\stdio\setvbuf.c	D:\nt\private\crt32st\stdio\setvbuf.c	0x000663ec	0x000664b0	0xc4	_setvbuf
140	D:\nt\private\crt32st\stdio\sprintf.c	D:\nt\private\crt32st\stdio\sprintf.c	0x000664bc	0x00066528	0x6c	_sprintf
141	D:\nt\private\crt32st\stdio\sscanf.c	D:\nt\private\crt32st\stdio\sscanf.c	0x0006652c	0x00066574	0x48	_sscanf
142	D:\nt\private\crt32st\stdio\input.c	D:\nt\private\crt32st\stdio\input.c	0x0006657c	0x00066e3c	0x8c0	__input; _hextodec; _inc; _un_inc; _whiteout
143	D:\nt\private\crt32st\string\strcat.c	D:\nt\private\crt32st\string\strcat.c	0x00066e3c	0x00066e80	0x44	_strcat; _strcpy
144	D:\nt\private\crt32st\string\strcmp.c	D:\nt\private\crt32st\string\strcmp.c	0x00066e8c	0x00066ed0	0x44	_strcmp
145	D:\nt\private\crt32st\string\strlen.c	D:\nt\private\crt32st\string\strlen.c	0x00066edc	0x00066ef4	0x18	_strlen
146	D:\nt\private\crt32st\string\strncmp.c	D:\nt\private\crt32st\string\strncmp.c	0x00066efc	0x00066f30	0x34	_strncmp
147	compiler_contribution_147 [_caseindex, _cnt_cases, _gencase...]	c:\c6\\cmerge\	0x00066f3c	0x00068428	0x14ec	_caseindex; _cnt_cases; _gencase; _emit_label; _linearsearch; _jumptable; _binsearch; _switch_code; _switches; _num_common; _scale_switch; _split; _divide; _reattach; _num_const_diff; _scale_multi_switch; _determine_scalability; _tweak_multi_arm; _signed_short; _order_on_order; _reorder; _collect_cases; _show; _card
148	compiler_contribution_148 [_emit_jmp, _emit_jumptable, _emit_bcc...]	c:\c6\\cmerge\	0x0006842c	0x000693b8	0xf8c	_emit_jmp; _emit_jumptable; _emit_bcc; _emit_div; _emit_sub; _emit_cmp; _emit_push; _emit_pop; _emit_shift; _init_reg_cond; _switch_use_reg; _switch_free_reg; _switch_choose_reg; _adjust_reg; _emit_mask
149	x.c	x.c	0x000693bc	0x000693bc	0x0	
150	D:\nt\private\crt32st\stdio\ungetc.c	D:\nt\private\crt32st\stdio\ungetc.c	0x000693bc	0x00069428	0x6c	_ungetc
151	D:\nt\private\crt32st\stdio\vprintf.c	D:\nt\private\crt32st\stdio\vprintf.c	0x0006942c	0x0006946c	0x40	_vprintf
152	xs.c	xs.c	0x0006946c	0x0006946c	0x0	
