index	source	source_raw	start_rva	end_rva	length	functions
10	compiler_contribution_010 [_confold, _int_arith, _fix_laddr...]	c:\c6\\cmerge\	0x0002a730	0x0002b7b4	0x1084	_confold; _int_arith; _fix_laddr; _float_arith; _const_conv; _fix_pt; _fix_val; _relconf; _relfold; _frelfold; _fltinit
11	compiler_contribution_011 [OVMCHK, OVACHK, OVSCHK]	c:\c6\\cmerge\	0x0002b7c0	0x0002b884	0xc4	OVMCHK; OVACHK; OVSCHK
12	compiler_contribution_012 [_grammar, _clean_prewalk, _lonemark...]	c:\c6\\cmerge\	0x0002b890	0x0002c704	0xe74	_grammar; _clean_prewalk; _lonemark; _del_OPregister_cse; _find_leaf_cse; _prinfo; _grammar_prewalk; _info_offset; _do_grammar; _clear_inreg; _lexpush; _xxerr; _prreglist; _do_pragma; _addsp
13	compiler_contribution_013 [_expand, _eval, _mcond...]	c:\c6\\cmerge\	0x0002c710	0x00030284	0x3b74	_expand; _eval; _mcond; _nox; _alop; _isrc; _isr; _xnew; _xconstrain; _xasg; _xfree; _reg_not_in; _lodseg; _append; _cpylineno; _extrlocal; _regintree; _profiler_code
14	compiler_contribution_014 [_read_pragma_info, _reverse_Otab_sense, _read_comment...]	c:\c6\\cmerge\	0x00030290	0x00030928	0x698	_read_pragma_info; _reverse_Otab_sense; _read_comment; _write_comments
15	compiler_contribution_015 [_canontree, _canonnode, _canons_td...]	c:\c6\\cmerge\	0x00030930	0x000339d0	0x30a0	_canontree; _canonnode; _canons_td; _canons_bu; _hoisttree; _hoistnode; _hoist_td; _hoist_lr; _hoist_bu; _temp_asgn; _asgn_val; _bit_const; _make_maxmin; _const_questop; _trans_questop; _trans_comma; _make_arm; _trans_logical; _notrelop; _relcheck; _rel_to_q; _logical_fold; _do_transform; _vmfunc_transform; _rev_args; _mbreturn; _structparam; _alloc_parms; _hoist; _calc_interfere; _interference; _pop_binaryL; _pop_binaryR
16	compiler_contribution_016 [_emit, _put_operand, _write_sil...]	c:\c6\\cmerge\	0x000339d0	0x0003529c	0x18cc	_emit; _put_operand; _write_sil; _namestring; _sil_proc; _opndattrsize; _emit_line
17	compiler_contribution_017	c:\c6\\cmerge\	0x000352a0	0x000352a0	0x0	
18	compiler_contribution_018 [_crack_cmd, _substr, _getnumber...]	c:\c6\\cmerge\	0x000352a0	0x0003577c	0x4dc	_crack_cmd; _substr; _getnumber; _isita; _tailmatch; _copyover; _unconcat
19	compiler_contribution_019 [_FCMADD, _FCMSUB, _FCMMUL...]	c:\c6\\cmerge\	0x00035780	0x000359d6	0x256	_FCMADD; _FCMSUB; _FCMMUL; _FCMDIV; _FCMCOMPARE
20	compiler_contribution_020 [_FMSIZE, _FMADD, _FMSUB...]	c:\c6\\cmerge\	0x000359e0	0x00035f54	0x574	_FMSIZE; _FMADD; _FMSUB; _FMMUL; _FMDIV; _FMRT_R4; _FMRT_R8; _FMRT_R10; _FMR4_RT; _FMR8_RT; _FMR10_RT; _FMI4_RT; _FMU4_RT; _FMRT_I4; _FMRT_U4; _FMRT_I4R; _FMMIN; _FMMAX; _FMABS; _FMCOMPARE
