dll	iat_rva	name	hint
base.dll	0x000b003c	CloseHandle	8
base.dll	0x000b0040	GetLastError	105
base.dll	0x000b0044	ExitProcess	50
base.dll	0x000b0048	GetFileType	102
base.dll	0x000b004c	GetStdHandle	134
base.dll	0x000b0050	GetCommandLineA	81
base.dll	0x000b0054	GetEnvironmentStrings	93
base.dll	0x000b0058	GetStartupInfoA	132
base.dll	0x000b005c	GetVersion	147
base.dll	0x000b0060	UnhandledExceptionFilter	261
base.dll	0x000b0064	WriteFile	276
base.dll	0x000b0068	SetStdHandle	244
base.dll	0x000b006c	FlushFileBuffers	68
base.dll	0x000b0070	VirtualAlloc	265
base.dll	0x000b0074	SetFilePointer	238
base.dll	0x000b0078	ReadFile	213
base.dll	0x000b007c	GetModuleFileNameA	110
base.dll	0x000b0080	DeleteFileA	38
base.dll	0x000b0084	CreateFileA	18
base.dll	0x000b0088	GetFileAttributesA	98
base.dll	0x000b008c	SetEndOfFile	231
base.dll	0x000b0090	VirtualFree	266
ntdll.dll	0x000b0098	DbgPrint	2
ntdll.dll	0x000b009c	RtlUnwind	377
ntdll.dll	0x000b00a0	longjmp	549
ntdll.dll	0x000b00a4	setjmp	550
