index	name	value	section	type	storage	naux	file
0	.file	11	-2	0	103	1	c:\c6\\cmerge\
2	.text	65536	1	0	3	1	c:\c6\\cmerge\
4	.data	524288	3	0	3	1	c:\c6\\cmerge\
6	.data	655360	4	0	3	1	c:\c6\\cmerge\
8	.bss	458752	2	0	3	1	c:\c6\\cmerge\
10	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
11	.file	24	-2	0	103	3	D:\nt\private\crt32\linkopts\binmode.c
15	.text	69024	1	0	3	1	D:\nt\private\crt32\linkopts\binmode.c
17	.data	525856	3	0	3	1	D:\nt\private\crt32\linkopts\binmode.c
19	.data	655360	4	0	3	1	D:\nt\private\crt32\linkopts\binmode.c
21	.bss	458816	2	0	3	1	D:\nt\private\crt32\linkopts\binmode.c
23	FLAT	0	-1	0	3	0	D:\nt\private\crt32\linkopts\binmode.c
24	.file	35	-2	0	103	1	c:\c6\\cmerge\
26	.text	69024	1	0	3	1	c:\c6\\cmerge\
28	.data	525872	3	0	3	1	c:\c6\\cmerge\
30	.data	655360	4	0	3	1	c:\c6\\cmerge\
32	.bss	458816	2	0	3	1	c:\c6\\cmerge\
34	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
35	.file	46	-2	0	103	1	c:\c6\\cmerge\
37	.text	71440	1	0	3	1	c:\c6\\cmerge\
39	.data	526112	3	0	3	1	c:\c6\\cmerge\
41	.data	655360	4	0	3	1	c:\c6\\cmerge\
43	.bss	458816	2	0	3	1	c:\c6\\cmerge\
45	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
46	.file	57	-2	0	103	1	c:\c6\\cmerge\
48	.text	108032	1	0	3	1	c:\c6\\cmerge\
50	.data	526912	3	0	3	1	c:\c6\\cmerge\
52	.data	655376	4	0	3	1	c:\c6\\cmerge\
54	.bss	458832	2	0	3	1	c:\c6\\cmerge\
56	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
57	.file	68	-2	0	103	1	c:\c6\\cmerge\
59	.text	116512	1	0	3	1	c:\c6\\cmerge\
61	.data	527232	3	0	3	1	c:\c6\\cmerge\
63	.data	655376	4	0	3	1	c:\c6\\cmerge\
65	.bss	458832	2	0	3	1	c:\c6\\cmerge\
67	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
68	.file	79	-2	0	103	1	c:\c6\\cmerge\
70	.text	129008	1	0	3	1	c:\c6\\cmerge\
72	.data	528000	3	0	3	1	c:\c6\\cmerge\
74	.data	655376	4	0	3	1	c:\c6\\cmerge\
76	.bss	458832	2	0	3	1	c:\c6\\cmerge\
78	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
79	.file	90	-2	0	103	1	c:\c6\\cmerge\
81	.text	136336	1	0	3	1	c:\c6\\cmerge\
83	.data	528368	3	0	3	1	c:\c6\\cmerge\
85	.data	655376	4	0	3	1	c:\c6\\cmerge\
87	.bss	459088	2	0	3	1	c:\c6\\cmerge\
89	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
90	.file	101	-2	0	103	1	c:\c6\\cmerge\
92	.text	158352	1	0	3	1	c:\c6\\cmerge\
94	.data	528944	3	0	3	1	c:\c6\\cmerge\
96	.data	655376	4	0	3	1	c:\c6\\cmerge\
98	.bss	459088	2	0	3	1	c:\c6\\cmerge\
100	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
101	.file	112	-2	0	103	1	c:\c6\\cmerge\
103	.text	171056	1	0	3	1	c:\c6\\cmerge\
105	.data	529344	3	0	3	1	c:\c6\\cmerge\
107	.data	655392	4	0	3	1	c:\c6\\cmerge\
109	.bss	459088	2	0	3	1	c:\c6\\cmerge\
111	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
112	.file	123	-2	0	103	1	c:\c6\\cmerge\
114	.text	173872	1	0	3	1	c:\c6\\cmerge\
116	.data	529840	3	0	3	1	c:\c6\\cmerge\
118	.data	655392	4	0	3	1	c:\c6\\cmerge\
120	.bss	459088	2	0	3	1	c:\c6\\cmerge\
122	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
123	.file	131	-2	0	103	1	c:\c6\\cmerge\
125	.text	178112	1	0	3	1	c:\c6\\cmerge\
127	.data	530000	3	0	3	1	c:\c6\\cmerge\
129	DGROUP	530000	3	0	3	0	c:\c6\\cmerge\
130	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
131	.file	142	-2	0	103	1	c:\c6\\cmerge\
133	.text	178320	1	0	3	1	c:\c6\\cmerge\
135	.data	530000	3	0	3	1	c:\c6\\cmerge\
137	.data	655392	4	0	3	1	c:\c6\\cmerge\
139	.bss	459088	2	0	3	1	c:\c6\\cmerge\
141	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
142	.file	153	-2	0	103	1	c:\c6\\cmerge\
144	.text	182032	1	0	3	1	c:\c6\\cmerge\
146	.data	530224	3	0	3	1	c:\c6\\cmerge\
148	.data	655392	4	0	3	1	c:\c6\\cmerge\
150	.bss	459104	2	0	3	1	c:\c6\\cmerge\
152	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
153	.file	164	-2	0	103	1	c:\c6\\cmerge\
155	.text	197264	1	0	3	1	c:\c6\\cmerge\
157	.data	530592	3	0	3	1	c:\c6\\cmerge\
159	.data	655392	4	0	3	1	c:\c6\\cmerge\
161	.bss	459120	2	0	3	1	c:\c6\\cmerge\
163	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
164	.file	175	-2	0	103	1	c:\c6\\cmerge\
166	.text	198960	1	0	3	1	c:\c6\\cmerge\
168	.data	531008	3	0	3	1	c:\c6\\cmerge\
170	.data	655392	4	0	3	1	c:\c6\\cmerge\
172	.bss	459120	2	0	3	1	c:\c6\\cmerge\
174	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
175	.file	186	-2	0	103	1	c:\c6\\cmerge\
177	.text	211408	1	0	3	1	c:\c6\\cmerge\
179	.data	531488	3	0	3	1	c:\c6\\cmerge\
181	.data	655392	4	0	3	1	c:\c6\\cmerge\
183	.bss	459136	2	0	3	1	c:\c6\\cmerge\
185	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
186	.file	197	-2	0	103	1	c:\c6\\cmerge\
188	.text	217760	1	0	3	1	c:\c6\\cmerge\
190	.data	532224	3	0	3	1	c:\c6\\cmerge\
192	.data	655392	4	0	3	1	c:\c6\\cmerge\
194	.bss	459152	2	0	3	1	c:\c6\\cmerge\
196	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
197	.file	208	-2	0	103	1	c:\c6\\cmerge\
199	.text	217760	1	0	3	1	c:\c6\\cmerge\
201	.data	532624	3	0	3	1	c:\c6\\cmerge\
203	.data	655392	4	0	3	1	c:\c6\\cmerge\
205	.bss	459152	2	0	3	1	c:\c6\\cmerge\
207	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
208	.file	216	-2	0	103	1	c:\c6\\cmerge\
210	.text	219008	1	0	3	1	c:\c6\\cmerge\
212	.data	532656	3	0	3	1	c:\c6\\cmerge\
214	DGROUP	532656	3	0	3	0	c:\c6\\cmerge\
215	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
216	.file	224	-2	0	103	1	c:\c6\\cmerge\
218	.text	219616	1	0	3	1	c:\c6\\cmerge\
220	.data	532672	3	0	3	1	c:\c6\\cmerge\
222	DGROUP	532672	3	0	3	0	c:\c6\\cmerge\
223	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
224	.file	235	-2	0	103	1	c:\c6\\cmerge\
226	.text	221024	1	0	3	1	c:\c6\\cmerge\
228	.data	532736	3	0	3	1	c:\c6\\cmerge\
230	.data	655392	4	0	3	1	c:\c6\\cmerge\
232	.bss	459360	2	0	3	1	c:\c6\\cmerge\
234	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
235	.file	246	-2	0	103	1	c:\c6\\cmerge\
237	.text	250096	1	0	3	1	c:\c6\\cmerge\
239	.data	533552	3	0	3	1	c:\c6\\cmerge\
241	.data	655392	4	0	3	1	c:\c6\\cmerge\
243	.bss	459536	2	0	3	1	c:\c6\\cmerge\
245	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
246	.file	257	-2	0	103	1	c:\c6\\cmerge\
248	.text	251360	1	0	3	1	c:\c6\\cmerge\
250	.data	537104	3	0	3	1	c:\c6\\cmerge\
252	.data	655392	4	0	3	1	c:\c6\\cmerge\
254	.bss	459536	2	0	3	1	c:\c6\\cmerge\
256	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
257	.file	268	-2	0	103	1	c:\c6\\cmerge\
259	.text	260304	1	0	3	1	c:\c6\\cmerge\
261	.data	537200	3	0	3	1	c:\c6\\cmerge\
263	.data	655392	4	0	3	1	c:\c6\\cmerge\
265	.bss	459536	2	0	3	1	c:\c6\\cmerge\
267	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
268	.file	279	-2	0	103	1	c:\c6\\cmerge\
270	.text	266688	1	0	3	1	c:\c6\\cmerge\
272	.data	537504	3	0	3	1	c:\c6\\cmerge\
274	.data	655392	4	0	3	1	c:\c6\\cmerge\
276	.bss	459552	2	0	3	1	c:\c6\\cmerge\
278	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
279	.file	290	-2	0	103	1	c:\c6\\cmerge\
281	.text	269968	1	0	3	1	c:\c6\\cmerge\
283	.data	538224	3	0	3	1	c:\c6\\cmerge\
285	.data	655392	4	0	3	1	c:\c6\\cmerge\
287	.bss	459552	2	0	3	1	c:\c6\\cmerge\
289	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
290	.file	301	-2	0	103	1	c:\c6\\cmerge\
292	.text	269968	1	0	3	1	c:\c6\\cmerge\
294	.data	547776	3	0	3	1	c:\c6\\cmerge\
296	.data	655392	4	0	3	1	c:\c6\\cmerge\
298	.bss	459552	2	0	3	1	c:\c6\\cmerge\
300	FLAT	0	-1	0	3	0	c:\c6\\cmerge\
301	.file	312	-2	0	103	1	c:\c6\\cmerge\
303	.text	277696	1	0	3	1	c:\c6\\cmerge\
